,srcid,field,root,root-1,sigma,fwhm_snr,PBroad,PCauchy,REH,AdG,JEG,Old Comments,New Comments,final
338,130708,UDS,rubies-uds32-v4,None,1.6251609805308003,2.197285851152959,0.8958717378572327,0.0013057509728428235,,,,,,
339,168622,UDS,rubies-uds21-nod-v3,None,1.6248218884836283,2.26411418579373,0.8957994842920974,1.6640828790762214e-118,,,,,,
340,28760,EGS,rubies-egs52-nod-v3,None,1.6241613241040693,2.428298626302373,0.8956586172082763,2.1886669741697697e-07,,,,,,
341,171802,UDS,rubies-uds21-nod-v3,None,1.6232792775084424,2.913177077840677,0.8954702826819566,5.38285689224108e-15,1.0,2.0,1.0,"really marginal, could be broad narrow",,I
342,39476,UDS,rubies-uds2-v4,None,1.6179765844753855,2.8296019880092684,0.8943323559863844,5.3151846005991047e-14,,,,,,
343,9683,UDS,rubies-uds43-v4,None,1.603277002783444,2.3979373984085663,0.8911264885580816,0.23077141426494946,,,,,,
344,17990,UDS,rubies-uds33-nod-v3,None,1.6030126966436058,5.962933751253836,0.8910681490227691,0.008649466015909896,2.0,1.0,,,,
345,48548,EGS,rubies-egs63-nod-v3,None,1.5969574614341475,1.2877539385644532,0.8897248102644583,6.688542242543243e-221,,,,,,
346,180590,UDS,rubies-uds31-nod-v3,None,1.5894590991453221,1.7681643734860495,0.8880432189195293,1.4681366003671655e-12,,,,,,
347,34647,EGS,rubies-egs63-nod-v3,None,1.5829527595558663,2.592259374281969,0.886567767899535,5.444958696028004e-93,1.0,1.0,,weird Ha shape,,N
348,33009,UDS,rubies-uds43-nod-v3,rubies-uds42-nod-v3,1.5784958755861487,1.4284990518450356,0.8855482650928472,5.677039338688687e-159,,,,,,
349,32818,UDS,rubies-uds33-nod-v3,None,1.5775881385531836,2.1678786497374283,0.8853397408857127,1.3490158388139542e-152,,,,,,N
350,175489,UDS,rubies-uds31-nod-v3,None,1.5744949424382206,,0.8846269301431433,2.065887619885253e-68,,,,,,N
351,58801,EGS,rubies-egs62-nod-v3,None,1.5582719371853093,7.142383006280498,0.8808312016307153,5.012458669711396e-21,,,,,,
352,138931,UDS,rubies-uds22-v4,None,1.5573200786620474,2.4224336412947975,0.8806054893906793,1.2691268235890387e-09,,,,,,
353,125917,UDS,rubies-uds32-nod-v3,None,1.553139526005453,2.775545426121577,0.8796101950205946,2.601824266487427e-09,,,,,,
354,7026,UDS,rubies-uds42-nod-v3,None,1.5520658903921865,2.1335535763690316,0.879353541484233,1.7290097183222812e-47,,,,,,
355,31726,UDS,rubies-uds43-v4,None,1.5483678495394326,3.3832407065229386,0.8784662427351143,0.9994137045131035,1.0,0.0,0.0,Revisit,,
356,36628,EGS,rubies-egs63-nod-v3,None,1.5384474444059377,1.5597685104211403,0.876060750647295,0.0015121062801268148,,,,,,
357,39348,EGS,rubies-egs53-nod-v3,None,1.5236929113004547,1.408497194200966,0.8724145589229165,4.083877893949842e-100,,,,,,
358,47718,UDS,rubies-uds33-nod-v3,None,1.5231912419296898,1.7975967949327976,0.8722891334100317,2.5601224307634584e-35,,,,,,
359,148350,UDS,rubies-uds32-nod-v3,None,1.5157134134489332,2.7144231627702684,0.8704081655786539,2.57079678724887e-306,0.0,0.0,,,,
360,127560,UDS,rubies-uds32-nod-v3,None,1.4948340940461071,1.7923555286093809,0.8650422540207211,7.0917867509976625e-40,,,,,,
361,146466,UDS,rubies-uds31-nod-v3,None,1.494010694092645,1.892212488811312,0.8648271758409092,3.2264028262028535e-07,0.0,,,,,
362,137835,UDS,rubies-uds23-nod-v3,None,1.4844490465590785,3.799375659418986,0.8623101687548438,4.404871673214375e-06,1.0,2.0,1.0,JEG: gosh that seems hard,,
363,45274,EGS,rubies-egs53-nod-v3,None,1.4818057955189365,1.3655118473869432,0.8616080234172553,7.897455298209527e-275,,,,,,N
364,148303,UDS,rubies-uds32-nod-v3,None,1.4790680392199662,1.7764427178681028,0.8608778688254578,2.6159817533345377e-34,,,,,,
365,32282,UDS,rubies-uds41-nod-v3,None,1.4733681839884019,2.986927470870598,0.8593482155939062,6.146413425825948e-21,,,,,,
366,138183,UDS,rubies-uds23-nod-v3,None,1.4717095317918316,2.1762057715865954,0.8589006674755139,1.203236178469966e-85,,,,,,N
367,48875,EGS,rubies-egs63-v4,None,1.4704352388379505,2.079470257699818,0.8585560867110995,1.2099713935337737e-05,,,,,,
368,30082,EGS,rubies-egs63-nod-v3,None,1.4429629715963233,2.405147472169485,0.8509690976235551,7.781066689581518e-41,,,,,,
369,163762,UDS,rubies-uds21-v4,None,1.4390636246038462,3.185275148577198,0.849867503021848,0.036350123075023784,,,,,,
370,131610,UDS,rubies-uds32-nod-v3,None,1.4365156523651623,1.1942799847480423,0.8491443343169255,2.9945794868230295e-37,0.0,,,,,
371,145541,UDS,rubies-uds23-nod-v3,rubies-uds22-nod-v3,1.4316237908704876,1.6333869544970059,0.8477484828181912,6.175650938413326e-61,,,,,,
372,16943,EGS,rubies-egs63-nod-v3,None,1.4176834433933352,2.1594416239286627,0.843716793992313,0.0027615322008701917,,,,,,
373,57409,UDS,rubies-uds3-nod-v3,None,1.414577784301465,2.08475361857468,0.8428076737788818,0.9503289359854082,,,,,,
374,64057,EGS,rubies-egs62-nod-v3,None,1.3942240787109892,2.9517300086658205,0.8367500510706257,0.010326344792750386,,,,,,N
375,140533,UDS,rubies-uds31-nod-v3,None,1.3843789704525238,2.0798070293515867,0.8337575552881893,0.998912995438663,,,,,,
376,51466,EGS,rubies-egs62-nod-v3,None,1.3745473605511598,1.973446074202086,0.8307281822912287,8.752138209139335e-18,,1.0,,,,
377,141427,UDS,rubies-uds21-nod-v3,None,1.3699625432310472,1.0254328180695256,0.8293014055738696,8.667773771137493e-101,,,,,,
378,182853,UDS,rubies-uds21-nod-v3,None,1.3699203384746867,1.9703529503363308,0.8292882299058542,3.8127302497889804e-23,,,,,,
379,20971,UDS,rubies-uds1-nod-v3,None,1.3682823508656452,1.656118802284739,0.8287762869529015,7.995251089285268e-19,1.0,,,,,
380,39434,EGS,rubies-egs63-nod-v3,None,1.3668101328190083,1.739037869990526,0.8283151741144226,2.2833545977881097e-60,,,,,,
381,57047,EGS,rubies-egs61-nod-v3,None,1.364827421221102,1.4270717899377003,0.8276927018924758,1.1529398946567524e-10,,,,,,
382,26252,EGS,rubies-egs53-nod-v3,None,1.3590730056962668,2.0369132514782624,0.8258765441983328,5.654706064202563e-28,,,,,,
383,54373,EGS,rubies-egs61-nod-v3,None,1.355243068176573,2.122359173880858,0.8246598729034283,0.0020773391946963342,,,,,,
384,21975,UDS,rubies-uds42-nod-v3,None,1.3543747154945907,1.5256838432288318,0.824383139927706,2.3294067458189398e-08,,,,,,
385,162503,UDS,rubies-uds21-nod-v3,None,1.3534828528630913,1.9504139842124442,0.8240985756333297,7.097930338085827e-28,,,,,,
386,33316,UDS,rubies-uds42-nod-v3,None,1.344077271602182,2.6848160200391886,0.8210765990863416,3.392902160397533e-27,,,,,,
387,28168,UDS,rubies-uds41-nod-v3,rubies-uds42-nod-v3,1.3231993106957767,2.6578661453421715,0.8142308948120229,0.5465710587582446,,,,,,
388,184352,UDS,rubies-uds31-nod-v3,None,1.3198014365854913,3.3382232129883453,0.8130986781465945,4.649018519600958e-24,0.0,0.0,,,,
389,177138,UDS,rubies-uds23-nod-v3,None,1.3074725679239128,3.591535335688642,0.8089477344123358,0.7765920819976756,,,,,,
390,66666,EGS,rubies-egs53-nod-v3,None,1.284159183377932,1.8194262566955812,0.8009137365125587,0.00016313405064119398,,,,,,
391,136168,UDS,rubies-uds32-nod-v3,None,1.27802347176105,1.108956650285276,0.7987588496487904,2.8459082612801254e-28,,,,,,
392,38644,UDS,rubies-uds1-nod-v3,None,1.2652245194695637,3.9139380667291097,0.7942091447153032,0.9673057459346154,,,,,,
393,15570,UDS,rubies-uds1-v4,None,1.2607683621284866,2.7657433350685037,0.7926076843408575,0.03200589073712162,,,,,,N
394,64515,EGS,rubies-egs61-nod-v3,None,1.2598346582109505,1.461883095478131,0.7922709857625755,9.499659899101125e-19,,,,,,
395,67853,UDS,rubies-uds3-nod-v3,None,1.2578183964412126,4.207253664170546,0.7915425589916022,8.045433701524085e-182,1.0,1.0,,,,N
396,73433,EGS,rubies-egs61-nod-v3,None,1.253100736107428,1.8678817228640718,0.7898309518036493,4.6189806400878266e-24,,,,,,N
397,164457,UDS,rubies-uds21-nod-v3,None,1.251662331124948,2.22335531125138,0.7893070684399912,3.605679839576746e-10,,,,,,
398,36473,EGS,rubies-egs53-nod-v3,None,1.241183880911107,1.297248477732749,0.7854621719271648,1.6113095300138205e-15,,,,,,
399,32426,UDS,rubies-uds41-nod-v3,None,1.2390005126437014,1.4888172063229166,0.7846546917825347,1.4678385628345844e-59,2.0,2.0,1.5,JEG: less convinced here,,B
400,903227,EGS,rubies-egs52-nod-v3,None,1.2066179212046673,1.1889506135751027,0.772420678199071,1.0421983954819946e-24,,,,,,
401,26590,EGS,rubies-egs52-nod-v3,None,1.204709470691621,1.2830946103355334,0.7716845213660165,2.1179314367064367e-42,1.0,0.0,,,,
402,16730,UDS,rubies-uds1-nod-v3,None,1.2014145571403358,2.6788253562962034,0.7704095679055711,4.6700138082522235e-09,,,,,,
403,28579,UDS,rubies-uds43-nod-v3,None,1.2005253829569678,2.945692218061368,0.7700646393274823,1.0385987284258583e-155,,,,,,
404,2969,EGS,rubies-egs52-nod-v3,None,1.1953179170768249,1.7163237004849667,0.7680371579111497,9.812363275223798e-07,,,,,,
405,915796,EGS,rubies-egs52-v4,None,1.1945817663514484,1.7831130289415382,0.7677495232944682,0.0047225003960396136,,,,,,
